93.0,93.0,1016.0,1.0,80.0,sky is clear,11
93.0,93.0,1016.0,0.0,0.0,sky is clear,11
93.0,93.0,1016.0,0.0,0.0,sky is clear,11
93.0,93.0,1016.0,1.0,100.0,sky is clear,11
93.0,93.0,1016.0,1.0,100.0,sky is clear,11
19.0,19.0,1013.0,1.0,150.0,sky is clear,11
38.0,38.0,1013.0,1.0,171.0,sky is clear,11
57.0,57.0,1013.0,1.0,191.0,sky is clear,11
76.0,76.0,1013.0,1.0,212.0,sky is clear,11
76.0,76.0,1013.0,1.0,212.0,sky is clear,11
87.0,87.0,1016.0,0.0,220.0,sky is clear,11
93.0,93.0,1016.0,0.0,200.0,sky is clear,11
93.0,93.0,1016.0,0.0,220.0,sky is clear,11
93.0,93.0,1016.0,0.0,180.0,sky is clear,12
93.0,93.0,1016.0,0.0,0.0,sky is clear,12
93.0,93.0,1016.0,0.0,0.0,sky is clear,12
87.0,87.0,1016.0,0.0,0.0,sky is clear,12
87.0,87.0,1016.0,0.0,0.0,sky is clear,12
87.0,87.0,1016.0,0.0,0.0,sky is clear,12
93.0,93.0,1016.0,0.0,270.0,sky is clear,12
93.0,93.0,1015.0,1.0,100.0,sky is clear,12
93.0,93.0,1015.0,0.0,0.0,sky is clear,12
87.0,87.0,1014.0,1.0,110.0,sky is clear,12
76.0,76.0,1013.0,1.0,160.0,sky is clear,12
87.0,87.0,1012.0,0.0,180.0,sky is clear,12
76.0,76.0,1012.0,0.0,0.0,sky is clear,12
87.0,87.0,810.0,0.0,240.0,sky is clear,12
57.0,57.0,1013.0,1.0,201.0,sky is clear,13
87.0,87.0,1009.0,3.0,150.0,sky is clear,13
93.0,93.0,1009.0,0.0,170.0,sky is clear,13
93.0,93.0,1009.0,0.0,130.0,sky is clear,13
93.0,93.0,1009.0,0.0,0.0,sky is clear,13
93.0,93.0,1009.0,1.0,100.0,sky is clear,13
87.0,87.0,1009.0,5.0,130.0,sky is clear,13
93.0,93.0,1009.0,4.0,110.0,sky is clear,13
93.0,93.0,1012.0,4.0,90.0,sky is clear,14
93.0,93.0,1013.0,1.0,40.0,sky is clear,14
93.0,93.0,1013.0,2.0,90.0,sky is clear,14
100.0,100.0,1013.0,1.0,90.0,sky is clear,14
93.0,93.0,1013.0,2.0,80.0,sky is clear,14
93.0,93.0,1010.0,2.0,80.0,sky is clear,14
93.0,93.0,1010.0,2.0,80.0,sky is clear,14
93.0,93.0,1010.0,2.0,80.0,sky is clear,14
93.0,93.0,1010.0,1.0,70.0,sky is clear,15
93.0,93.0,1010.0,2.0,80.0,sky is clear,15
93.0,93.0,1010.0,2.0,80.0,sky is clear,15
87.0,87.0,1010.0,2.0,80.0,sky is clear,15
93.0,93.0,1010.0,5.0,100.0,sky is clear,15
87.0,87.0,1015.0,7.0,130.0,sky is clear,15
87.0,87.0,1015.0,7.0,140.0,sky is clear,15
87.0,87.0,1014.0,9.0,120.0,sky is clear,15
96.0,96.0,1001.0,2.0,157.0,sky is clear,15
87.0,87.0,1012.0,6.0,150.0,sky is clear,15
87.0,87.0,1010.0,7.0,150.0,sky is clear,15
87.0,87.0,1010.0,7.0,150.0,sky is clear,15
93.0,93.0,1010.0,10.0,160.0,sky is clear,15
93.0,93.0,1010.0,10.0,160.0,sky is clear,15
93.0,93.0,1010.0,5.0,160.0,sky is clear,16
93.0,93.0,1013.0,0.0,0.0,sky is clear,16
93.0,93.0,1013.0,0.0,330.0,sky is clear,16
93.0,93.0,1013.0,1.0,180.0,sky is clear,16
96.0,96.0,1001.0,0.0,157.0,sky is clear,16
93.0,93.0,1013.0,5.0,100.0,sky is clear,16
87.0,87.0,1011.0,8.0,110.0,sky is clear,16
82.0,82.0,1010.0,4.0,130.0,sky is clear,16
100.0,100.0,1017.0,4.0,130.0,sky is clear,16
87.0,87.0,1017.0,7.0,90.0,sky is clear,17
93.0,93.0,998.0,7.0,190.0,sky is clear,17
93.0,93.0,998.0,0.0,50.0,sky is clear,17
