latitude,longitude,depth,mag,magType,gap,rms,net,horizontalError,depthError,magError,magNst,locationSource,magSource,aX,aY,aZ,gX,gY,gZ,type
18.08683333,-66.96766667,0.0,0.0,2,0.0,0.0,9,2.03,6.14,0.012860082,3.0,9,10,-952,-1236,-17196,-2752,59,256,3
19.047,-65.71266667,0.0,0.0,2,0.0,0.0,9,3.83,2.99,0.182758406,3.0,9,10,-1088,-1284,-17276,-2752,67,284,3
37.2888,-117.5662,0.0,0.0,4,0.0,0.0,7,0.0,7.1,0.91,10.0,7,8,-1152,-1204,-17300,-2800,56,293,3
38.7921677,-122.8014984,0.0,0.0,2,0.0,0.0,5,0.22,0.45,0.19,27.0,5,6,-1068,-1272,-17232,-2736,69,284,3
17.9925,-66.80433333,0.0,0.0,2,0.0,0.0,9,0.48,0.78,0.061421687,5.0,9,10,-1120,-1236,-17096,-2736,72,264,3
17.98316667,-66.80316667,0.0,0.0,2,0.0,0.0,9,1.21,0.62,0.101721519,5.0,9,10,-1088,-1256,-17304,-2736,90,286,3
38.7698326,-122.7249985,0.0,0.0,2,0.0,0.0,5,2.31,6.6,0.32,6.0,5,6,-1076,-1252,-17044,-2752,66,281,3
35.0298333,-117.684,0.0,0.0,4,0.0,0.0,2,0.89,31.61,0.118,32.0,2,2,-1108,-1256,-17280,-2784,67,320,3
38.840332,-122.8236694,0.0,0.0,2,0.0,0.0,5,0.33,0.82,0.24,12.0,5,6,-1124,-1268,-17172,-2784,51,282,3
19.24966621,-155.3939972,0.0,0.0,4,0.0,0.0,3,0.59,0.639999986,2.76,10.0,3,4,-1068,-1256,-17064,-2752,77,274,3
61.5912,-149.963,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1116,-1232,-17088,-2816,63,266,3
31.5801,-104.5581,0.0,0.0,4,0.0,0.0,12,1.7,4.769,0.064,52.0,12,13,-1140,-1228,-17156,-2752,65,293,3
61.0059,-152.0907,0.0,0.0,4,0.0,0.0,0,0.0,0.2,0.0,0.0,0,0,-1028,-1272,-17304,-2768,56,311,3
25.3565,123.991,0.0,0.0,0,0.0,0.0,12,10.73,9.351,0.105,25.0,12,13,-1160,-1252,-17296,-2736,58,265,3
38.8056679,-122.7786636,0.0,0.0,2,0.0,0.0,5,0.28,0.55,0.19,17.0,5,6,-1280,-1208,-17180,-2736,68,254,3
64.9854,-150.1401,0.0,0.0,4,0.0,0.0,0,0.0,0.4,0.0,0.0,0,0,-1148,-1272,-17184,-2768,63,282,3
-23.3077,170.6129,0.0,0.0,0,0.0,0.0,12,11.8,1.895,0.117,23.0,12,13,-1164,-1252,-17200,-2768,79,287,3
31.61107626,-103.9782242,0.0,0.0,4,0.0,0.0,11,0.84858207,0.793365852,0.1,22.0,11,12,-1112,-1268,-17208,-2736,57,311,3
59.1511,-138.0385,0.0,0.0,4,0.0,0.0,0,0.0,0.5,0.0,0.0,0,0,-1124,-1252,-17140,-2768,59,273,3
31.61294221,-103.9696252,0.0,0.0,4,0.0,0.0,11,0.649995004,0.933891713,0.2,12.0,11,12,-1184,-1308,-17292,-2784,92,228,3
31.61293707,-103.971239,0.0,0.0,4,0.0,0.0,11,0.500443732,0.616648265,0.2,13.0,11,12,-1020,-1292,-17092,-2752,40,281,3
-22.6436,169.8512,0.0,0.0,0,0.0,0.0,12,7.24,1.861,0.08,50.0,12,13,-1140,-1256,-17260,-2752,66,274,3
19.24349976,-155.4023285,0.0,0.0,4,0.0,0.0,3,0.52,0.689999998,4.44,4.0,3,4,-1012,-1256,-17364,-2784,81,278,3
19.2385006,-155.3918304,0.0,0.0,4,0.0,0.0,3,1.04,1.47000003,5.09,3.0,3,4,-1084,-1252,-17028,-2752,57,290,3
19.39166667,-155.276,0.0,0.0,4,0.0,0.0,3,0.17,0.15,0.216888764,19.0,3,4,-1184,-1232,-17100,-2752,84,231,3
37.2842,-117.5687,0.0,0.0,4,0.0,0.0,7,0.0,2.7,0.66,7.0,7,8,-1072,-1196,-17200,-2768,81,253,3
61.0111,-152.0958,0.0,0.0,4,0.0,0.0,0,0.0,0.5,0.0,0.0,0,0,-1020,-1244,-17140,-2736,62,282,3
44.7755,-110.8028333,0.0,0.0,2,0.0,0.0,13,0.71,1.98,0.112,5.0,13,14,-1056,-1264,-17316,-2768,48,278,3
48.1385,-114.103,0.0,0.0,4,0.0,0.0,4,0.66,1.16,0.345032928,6.0,4,5,-1196,-1388,-17312,-2784,56,292,3
36.9342,-115.6912,0.0,0.0,4,0.0,0.0,7,0.0,3.2,0.23,19.0,7,8,-1200,-1256,-17324,-2784,58,260,3
33.4616667,-116.5808333,0.0,0.0,4,0.0,0.0,2,0.18,0.42,0.225,27.0,2,2,-992,-1304,-17092,-2752,64,262,3
33.4608345,-116.578331,0.0,0.0,4,0.0,0.0,2,0.46,0.84,0.651,7.0,2,2,-1148,-1264,-17104,-2768,54,287,3
